TestSat.UTCModJulian      TestSat.A1ModJulian       TestSat.Earth.Latitude    TestSat.Earth.Longitude   TestSat.Earth.Altitude    
30910.11107791665         30910.11150655533         21.58056616406307         154.7571687219281         417.4141805919835         
30910.11211421021         30910.11254284888         25.85653016515349         158.6629176688783         417.9321311110407         
30910.11317185539         30910.11360049407         30.07848283831650         162.9730627084773         418.5749760878434         
30910.11423132553         30910.11465996421         34.12289014080010         167.6977195532883         419.2929507341451         
30910.11529077933         30910.11571941801         37.93199716559575         172.9163338618814         420.0408169628745         
30910.11634977348         30910.11677841215         41.44313157051918         178.7153150656545         420.7739066462964         
30910.11714521282         30910.11757385150         43.84173044724076         -176.4963397527094        421.2893104190907         
30910.11738267580         30910.11781131448         44.51219122237759         -174.9901418042217        421.4344192393728         
30910.11771341089         30910.11814204956         45.40788721382692         -172.8318850521203        421.6284638489242         
30910.11802236109         30910.11845099977         46.20226571400099         -170.7515897802422        421.8003864359252         
30910.11848298017         30910.11891161884         47.30556292274977         -167.5345828085951        422.0381171164090         
30910.11904154927         30910.11947018795         48.50318746032136         -163.4506148084951        422.2932544432060         
30910.11970487124         30910.12013350991         49.70761223783717         -158.3530716984795        422.5437643428086         
30910.12063263469         30910.12106127337         50.95620893466419         -150.8298168213329        422.7884329719600         
30910.12168021358         30910.12210885225         51.69968961891810         -141.9434075211043        422.9040040902855         
30910.12273983852         30910.12316847720         51.69289932724604         -132.8015327968375        422.8395484441307         
30910.12380152401         30910.12423016268         50.92122265129608         -123.8029556634066        422.5927938510522         
30910.12486227656         30910.12529091524         49.42970413099482         -115.2536816316187        422.1743569509335         
30910.12496680553         30910.12539544421         49.24644972125491         -114.4432234454425        422.1244792993812         
30910.12512222517         30910.12555086385         48.96258059751794         -113.2499599194662        422.0476170770435         
30910.12537606903         30910.12580470771         48.47031993755002         -111.3321514521573        421.9153222082059         
30910.12575083974         30910.12617947841         47.68105925437843         -108.5737068041047        421.7053775220420         
30910.12627828766         30910.12670692634         46.45134669035356         -104.8436934174722        421.3826138690047         
30910.12687890313         30910.12730754181         44.89535125662352         -100.8165880008133        420.9808175958542         
30910.12760912926         30910.12803776794         42.80385788748735         -96.23324573564211        420.4521865147490         
30910.12844683410         30910.12887547277         40.16967854125500         -91.37924853188865        419.8071275459361         
30910.12947303596         30910.12990167463         36.65589442787926         -85.97084756596463        418.9901350572482         
30910.13052884213         30910.13095748080         32.77267347597792         -80.94696108803642        418.1590485676616         
30910.13158335071         30910.13201198938         28.67888257700171         -76.38934508540774        417.3832713648499         
30910.13191124998         30910.13233988865         27.36958000610849         -75.05257258467877        417.1600931389712         
30910.13241428015         30910.13284291883         25.33213482449473         -73.06704889804944        416.8391737007087         
30910.13299125011         30910.13341988879         22.95684096636566         -70.87755182208141        416.5081771549449         
30910.13365365667         30910.13408229535         20.18617213313449         -68.46519428896700        416.1849007741530         
30910.13448124010         30910.13490987878         16.67011881424369         -65.57958254793364        415.8789960042086         
30910.13540252144         30910.13583116011         12.69984976292023         -62.50118125610753        415.6833334775929         
30910.13644850544         30910.13687714412         8.140424036563548         -59.13123881974191        415.6659355900802         
30910.13749724426         30910.13792588294         3.534545176777782         -55.83708875631558        415.8822587585746         
30910.13855766437         30910.13898630305         -1.137075083688429        -52.54321958376902        416.3458816411066         
30910.13885569442         30910.13928433309         -2.449885745165648        -51.61755211418590        416.5203306712865         
30910.13926096752         30910.13968960619         -4.233582361481043        -50.35544266404830        416.7880595825372         
30910.13980420359         30910.14023284226         -6.619919194347649        -48.65324798861439        417.2008404164180         
30910.14057072918         30910.14099936786         -9.973232878070224        -46.21910041118797        417.8838750774557         
30910.14139011822         30910.14181875690         -13.53146889286394        -43.55545386372844        418.7348141082884         
30910.14224887161         30910.14267751028         -17.22008393870839        -40.66890888101616        419.7454921348808         
30910.14319346640         30910.14362210508         -21.21363329587892        -37.34532858988657        420.9744555110547         
30910.14420526137         30910.14463390005         -25.39478920061583        -33.56316207976276        422.3934738069365         
30910.14525345689         30910.14568209556         -29.59068803581559        -29.33855587105483        423.9318225735997         
30910.14580013887         30910.14622877754         -31.71182060300956        -26.98689316982858        424.7453838480060         
30910.14642645391         30910.14685509259         -34.07493363262142        -24.14863197222566        425.6748058299027         
30910.14712220454         30910.14755084322         -36.60363536216602        -20.79428905853112        426.6910662755827         
30910.14792663604         30910.14835527472         -39.37968820974520        -16.61970766981045        427.8257565288786         
30910.14884151073         30910.14927014941         -42.30847769683447        -11.44000677454065        429.0363039778904         
30910.14987900382         30910.15030764249         -45.27495724023448        -4.952576428641276        430.2683154650185         
30910.15093257959         30910.15136121826         -47.82034034447364        2.341196601646266         431.3258843558378         
30910.15199054933         30910.15241918800         -49.81089628308980        10.36319047187600         432.1552233310722         
30910.15274458331         30910.15317322198         -50.83435089422581        16.45249812154216         432.5879374182314         
30910.15360651020         30910.15403514888         -51.56196658792109        23.69241796731062         432.9100889096471         
30910.15463853272         30910.15506717139         -51.77773615649952        32.55639231289545         433.0448091763328         
30910.15569719265         30910.15612583133         -51.24685388659029        41.58499638866995         432.8958404282357         
30910.15676020414         30910.15718884282         -49.97822361287549        50.29146663180300         432.4604031453719         
30910.15702709699         30910.15745573567         -49.55130521533089        52.39257070403747         432.3078885887717         
30910.15727361748         30910.15770225615         -49.12054768509513        54.29809606771232         432.1522123248142         
30910.15761512005         30910.15804375873         -48.46815110081243        56.87887432592890         431.9136857781123         
30910.15811037728         30910.15853901596         -47.41291046665196        60.49401099501924         431.5223683639588         
30910.15875955692         30910.15918819560         -45.84863808021910        64.99536465324134         430.9330067246510         
30910.15951243937         30910.15994107805         -43.80354926155519        69.87522837811991         430.1511069785774         
30910.15968902775         30910.16011766643         -43.29128456165424        70.96762819095484         429.9538634992414         
30910.15992985743         30910.16035849610         -42.57415000339815        72.42621893357956         429.6770878295620         
30910.16029200795         30910.16072064663         -41.45754070917020        74.55321345250178         429.2450620978107         
30910.16080295710         30910.16123159578         -39.80968725785058        77.42335312687345         428.6064480767036         
30910.16137401319         30910.16180265187         -37.87707199365676        80.45977608075680         427.8584805268665         
30910.16238387385         30910.16281251252         -34.25647417804939        85.42683306809123         426.4709387532830         
30910.16343430502         30910.16386294369         -30.26270162351084        90.11849582483040         424.9813514273692         
30910.16449240957         30910.16492104825         -26.05376809569342        94.43878992241868         423.4844173693918         
30910.16555134276         30910.16597998143         -21.69559420886357        98.43388154119526         422.0408617447092         
